event_type,items/0/releases,items/0/country_code,items/0/amount_paid_fmt,items/0/currency,items/0/item_price,items/0/artist_name,items/0/item_type,items/0/album_title,items/0/amount_paid,items/0/package_image_id,items/0/country,items/0/slug_type,items/0/amount_paid_usd,items/0/art_id,items/0/art_url,items/0/utc_date,items/0/url,items/0/track_album_slug_text,items/0/item_description,utc_date,items/1/releases,items/1/country_code,items/1/amount_paid_fmt,items/1/currency,items/1/item_price,items/1/artist_name,items/1/item_type,items/1/album_title,items/1/amount_paid,items/1/package_image_id,items/1/country,items/1/slug_type,items/1/amount_paid_usd,items/1/art_id,items/1/art_url,items/1/utc_date,items/1/url,items/1/track_album_slug_text,items/1/item_description,items/2/releases,items/2/country_code,items/2/amount_paid_fmt,items/2/currency,items/2/item_price,items/2/artist_name,items/2/item_type,items/2/album_title,items/2/amount_paid,items/2/package_image_id,items/2/country,items/2/slug_type,items/2/amount_paid_usd,items/2/art_id,items/2/art_url,items/2/utc_date,items/2/url,items/2/track_album_slug_text,items/2/item_description,items/0/amount_over_fmt,items/3/releases,items/3/country_code,items/3/amount_paid_fmt,items/3/currency,items/3/item_price,items/3/artist_name,items/3/item_type,items/3/album_title,items/3/amount_paid,items/3/package_image_id,items/3/country,items/3/slug_type,items/3/amount_paid_usd,items/3/art_id,items/3/art_url,items/3/utc_date,items/3/url,items/3/track_album_slug_text,items/3/item_description,items/4/releases,items/4/country_code,items/4/amount_paid_fmt,items/4/currency,items/4/item_price,items/4/artist_name,items/4/item_type,items/4/album_title,items/4/amount_paid,items/4/package_image_id,items/4/country,items/4/slug_type,items/4/amount_paid_usd,items/4/art_id,items/4/art_url,items/4/utc_date,items/4/url,items/4/track_album_slug_text,items/4/item_description,items/0/addl_count,items/0/item_slug
sale,,gb,£10,GBP,10,4TGANG,p,Breaks 'N' Pieces Vol. 14,10,25381398,United Kingdom,a,13.46,,https://f4.bcbits.com/img/0025381398_37.jpg,1633003951.30988,//cheekymusicgroup.bandcamp.com/album/breaks-n-pieces-vol-14,,"12"" VINYL - BRKN014",1633003951.29706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gr,$7,USD,7,Toby Fox,a,,7,,Greece,a,7,2853502166,https://f4.bcbits.com/img/a2853502166_7.jpg,1633003951.48894,//tobyfox.bandcamp.com/album/deltarune-chapter-2-ost,,DELTARUNE Chapter 2 OST,1633003951.50897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,no,$30,USD,30,PHYS I CAAL,p,,30,25448587,Norway,p,30,,https://f4.bcbits.com/img/0025448587_37.jpg,1633003953.14985,//physicaal.bandcamp.com/merch/phys-i-caal-black-t-shirt,,PHYS I CAAL BLACK T+SHIRT,1633003953.02545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,jp,€1,EUR,4,Sensient,t,Way Of The Sloth,4,,Japan,t,4.64,2184276142,https://f4.bcbits.com/img/a2184276142_7.jpg,1633003957.23795,//sensient.bandcamp.com/track/do-you-remember,,Do You Remember,1633003957.54263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,/album/
sale,,gb,€5,EUR,5,Zero T,a,,5,,United Kingdom,a,5.82,1960487555,https://f4.bcbits.com/img/a1960487555_7.jpg,1633003961.73628,//zerot.bandcamp.com/album/off-broadway,,Off Broadway,1633003961.92237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£1,GBP,1,Various Artists,t,Contra Pop Festival 2015: An Ahistorical Document,1,,United Kingdom,t,1.34,3389457508,https://f4.bcbits.com/img/a3389457508_7.jpg,1633003963.1553,//extranormalrecords.bandcamp.com/track/don-t-dj-do-not-answer-it,,Don’t DJ – Do Not Answer It!,1633003963.59007,,gb,£1,GBP,1,Lumpen Nobleman,t,Errors and Remedies,1,,United Kingdom,t,1.34,2404158492,https://f4.bcbits.com/img/a2404158492_7.jpg,1633003963.7692,//extranormalrecords.bandcamp.com/track/error-i-dont-dj-remedy,,Error I (Don't DJ Remedy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,es,$1,USD,0,Grand Prix,t,Otros EP,1,,Spain,t,1,1239342835,https://f4.bcbits.com/img/a1239342835_7.jpg,1633003966.38758,//grandprixoficial.bandcamp.com/track/you-shook-me-all-night-long-ac-dc,,You Shook Me All NIght Long (AC/DC),1633003966.04387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£5,GBP,5,Unfurl,a,,5,,United Kingdom,a,6.72,1939269716,https://f4.bcbits.com/img/a1939269716_7.jpg,1633003966.49974,//unfurl1.bandcamp.com/album/sleeping-giants-in-memory-of-adam-warne,,Sleeping Giants (in memory of Adam Warne),1633003966.8572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,us,$3,USD,1,David Grover,t,One World,3,,United States,t,3,2565126636,https://f4.bcbits.com/img/a2565126636_7.jpg,1633003966.87355,//davidgrover.bandcamp.com/track/my-mommy-comes-back,,My Mommy Comes Back,1633003966.9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,rs,$10 CAD,CAD,10,The Dreadnoughts,a,,10,,Serbia,a,7.86,3969487808,https://f4.bcbits.com/img/a3969487808_7.jpg,1633003968.44336,//thedreadnoughts.bandcamp.com/album/into-the-north,,Into The North,1633003968.76692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,€1.65,EUR,1.64999997615814,ADMX-71,t,Coherent Abstractions (LIES-067),1.65,,United Kingdom,t,1.92,788993052,https://f4.bcbits.com/img/a0788993052_7.jpg,1633003969.21395,//sonicgroove.bandcamp.com/track/neutralize-eliminate,,Neutralize & Eliminate,1633003969.28147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,us,$3,USD,1,Film Junk,a,,3,,United States,a,3,3734702173,https://f4.bcbits.com/img/a3734702173_7.jpg,1633003971.28614,//filmjunk.bandcamp.com/album/mario-bava,,Mario Bava,1633003971.81603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,us,$2,USD,1,Film Junk,a,,2,,United States,a,2,3734702173,https://f4.bcbits.com/img/a3734702173_7.jpg,1633003972.49288,//filmjunk.bandcamp.com/album/mario-bava,,Mario Bava,1633003972.43805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,nl,£3,GBP,3,Glenn Wilson,a,,3,,Netherlands,a,4.03,2962400400,https://f4.bcbits.com/img/a2962400400_7.jpg,1633003977.74909,//punish-records.bandcamp.com/album/doggy-style-punish16d,,Doggy Style - PUNISH16D,1633003977.4376,,nl,£2,GBP,2,Glenn Wilson & Mike Humphries,a,,2,,Netherlands,a,2.69,1539795148,https://f4.bcbits.com/img/a1539795148_7.jpg,1633003977.48071,//punish-records.bandcamp.com/album/electric-blue-1-punishblue1d,,Electric Blue 1 - PUNISHBLUE1D,,nl,£3,GBP,3,Slut Peddler's,a,,3,,Netherlands,a,4.03,2351044583,https://f4.bcbits.com/img/a2351044583_7.jpg,1633003977.72526,//punish-records.bandcamp.com/album/snuff-punish10d,,Snuff - PUNISH10D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£10,GBP,10,Council Work,p,Frankel & Harper - Crouching Tiger EP,10,22175920,United Kingdom,a,13.45,,https://f4.bcbits.com/img/0022175920_37.jpg,1633003977.41032,//councilwork.bandcamp.com/album/frankel-harper-crouching-tiger-ep,,"Frankel & Harper -Crouching Tiger EP LTD EDITION 12"" 180 Gram Vinyl (UK SHIPPING ONLY)",1633003977.49899,,gb,£10,GBP,10,Council Work,p,Frankel & Harper - Trimmers EP,10,18589501,United Kingdom,a,13.45,,https://f4.bcbits.com/img/0018589501_37.jpg,1633003977.70169,//councilwork.bandcamp.com/album/frankel-harper-trimmers-ep,,"LTD EDITION 12"" 180 Gram Vinyl (UK SHIPPING ONLY)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,jp,2 CHF,CHF,2,Silent Sphere & DJ Anneli,a,,2,,Japan,a,2.15,4288671310,https://f4.bcbits.com/img/a4288671310_7.jpg,1633003978.8894,//silentsphere.bandcamp.com/album/better-or-worse,,Better or Worse,1633003978.71475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
